Company,Location,City,Employee Level,Aboriginal,African Caribbean / African American,African Caribbean/Canadian,American Indian or Alaskan Native,American Indian or Pacific Islander,Asian,Asian / Asian American,Asian Lineage,Asian American,Asian-Pacific Islander,BAME,BIPOC,Black,Black + Non-Black POC,Black and Brown,Black and Latina,Black or African-American,British Indian,Diverse Group,Ethnically/Racially diverse,Hispanic,Hispanic or Latinx / Hispanic Latino,Hispanic or Latinx or Asian or Other,Latin American,Latina,Latinx,Maori,Middle Eastern,Mixed Race / Mixed Ethnicity,Mixed Race Asian,Multiracial / Multiple Ethnic Background,Native Hawaiian or Pacific Islander,Non-Black POC,Non-White,Other,Persian,POC / POC Non-White,Prefer Not To Say / Undisclosed / Not Specified,South Asian,SouthEast Asian,Two or more races,Unknown,White,White/Caucasian,% Check,Number Reported Employee,Reporting %,Male,Female,Non-Binary,Gender-Fluid,Prefer Not To Say / Unspecified,Check,LGBTQ+
Cover FX,,,Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,,,,,,,0,
Cult Beauty,,,Entire Team,,,,,,18.7,,,,,,,7.8,,,,,,,,,,,,,,,,,,6.6,, ,,,,,3.6,,,,,63.3,,63.3,,71.24,19.3,80.1,,,0.6,100,
Cult Beauty,,,Leadership,,,,,,,,,,,8.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,100,41.6,58.3,,,,99.9,
Cupcakes and Cashmere,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,73,,73,11,,,91,,,,91,
Curology,,,All,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Curology,,,Corporate,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Curology,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Curology,,,Management,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Devacurl,USA,,All,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,46,,46,188,,,81,1,,,82,
Devacurl,USA,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0,,,,,,,,0,
Devacurl,USA,,Leadership,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,0,,,,,,,,0,
Dew Care,USA,,Office,,,,,,,,,,72.7,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,18.2,,18.2,12,91.6,,,,,,0,
Dominique Cosmetics,,,All,,,,,,,,,,,,,11,,,,,,,,,45,,,,,,,,,,,,,,,78,,,,,,22,,22,9,,,,,,,0,
Dominique Cosmetics,,,Executive,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,0,
e.l.f beauty,,,All,,,,1,,17,,,,,,,7,,,,,,,,,14,,,,,,,,,,,,,,,,,,,7,,55,,55,153,,,70,,,,70,
e.l.f beauty,,,Board,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
e.l.f beauty,,,Executive,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Everlane,,,All,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,0,,,,,,,,0,
Everlane,,,Director and Above,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,0,,,,76,,,,76,
Farmacy,,,Leadership,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,0,,,,,,,,0,
Farnacy,,,All,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,0,,,,91,,,,91,
FARSALI,,,All,,,,,,25,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,50,,,,,,,,0,
Flower,,,All,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,73,,,,73,
Flower,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,56,,,,56,
Gap,USA,,All,,,,,,7,,,,,,,18,,,,,,,,25,,,,,,,,,,,,,,5,,,,,,,,44,,44,,,,,,,,0,
Gap,USA,,Distribution and Call Centers,,,,,,9,,,,,,,23,,,,,,,,19,,,,,,,,,,,,,,2,,,,,,,,47,,47,,,,,,,,0,
