Company,Location,City,Employee Level,Aboriginal,African Caribbean / African American,African Caribbean/Canadian,American Indian or Alaskan Native,American Indian or Pacific Islander,Asian,Asian / Asian American,Asian Lineage,Asian American,Asian-Pacific Islander,BAME,BIPOC,Black,Black + Non-Black POC,Black and Brown,Black and Latina,Black or African-American,British Indian,Diverse Group,Ethnically/Racially diverse,Hispanic,Hispanic or Latinx / Hispanic Latino,Hispanic or Latinx or Asian or Other,Latin American,Latina,Latinx,Maori,Middle Eastern,Mixed Race / Mixed Ethnicity,Mixed Race Asian,Multiracial / Multiple Ethnic Background,Native Hawaiian or Pacific Islander,Non-Black POC,Non-White,Other,Persian,POC / POC Non-White,Prefer Not To Say / Undisclosed / Not Specified,South Asian,SouthEast Asian,Two or more races,Unknown,White,White/Caucasian,% Check,Number Reported Employee,Reporting %,Male,Female,Non-Binary,Gender-Fluid,Prefer Not To Say / Unspecified,Check,LGBTQ+
Plouise,,,All,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,60,,60,,,15,85,,,,100,
Plouise,,,Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.54545455,,,,,,,,0,11,,,,,,,0,
PUR,,,All,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,,23,77,,,,100,
Purlisse,,,,,,,,,20,,,,,,,20,,,,,,,,,,,,20,,,,,,,,,,,10,,,,,,,30,,30,,,,100,,,,100,
Reformation,,,Corporate,,,,,,21,,,,,,,1,,,,,,,,,21,,,,,,,,,,,,,,,,,,,5,,52,,52,,,,,,,,0,
Reformation,,,Factory,,,,,,2,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,0,
Rent The Runway,,,Designers,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Rent The Runway,,,Email Marketing,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Rent The Runway,,,Influencers,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Rent The Runway,,,Model Talent,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Rent The Runway,,,Production Crews,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Rent The Runway,,,Site + App,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Rent The Runway,,,Social Media,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Rent The Runway,,,Styling Talent,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Revlon,USA,,All,,,,,1,5,,,,,,,27,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,57,,57,,,,,,,,0,
Revlon,USA,,Director or Above,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Revolution Beauty London,Britain,,HQ,,,,,,12,,,,,,,3,,,,,,,,,,,,,,,,9,,,,,,3,,,,,,,,73,,73,,,,73,,,,73,
Rizo Curls,,,All,,,,,,,,,,,,,55,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,91,,,,91,
Sephora,,,All,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,0,,,,83,,,,83,
Sephora,,,Leadership,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,0,,,,80,,,,80,
Shea Moisture,,,Leadership,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,0,,,,73,,,,73,
Shiseido Americas,USA,,All,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,0,,,,,,,,0,
Shiseido Americas,USA,,Director or Above,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Shiseido Americas,USA,,Manager or Above,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Siete,,,Leadership,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,,12.5,,,,,,12.5,,12.5,,12.5,8,,50,50,,,,100,
Siete,,,Total,,,,2,,,,,,,,,3,,,,,,,,,32,,,,,,,,,,,,,,,,,,,5,,47,,47,76,80%,34,66,,,,100,
Soko Glam,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,0,,,,86,,,,86,
Soko Glam,,,Leadership / HQ Staff,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Sol De Janeiro,,,All,,,,,,21,,,,,,,,,,,10,,,,,15,,,,,,,,,,,,,2,,,,,,,,52,,52,,,,,,,,0,
Sol De Janeiro,,,Management,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Sugarpill,,,All,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,0,,,,80,,,,80,40
Sunday Riley,USA,,Highest Compensated,,,,,,,,,,,,,20,,,,,,,,,30,,,,,,,10,,,,,,,,,,,,,,40,,40,10,,,,,,,0,
Sunday Riley,USA,Houston,HQ,,,,,,9.6,,,,,,,11.5,,,,,,,,,21.1,,,,,,3.9,2,,,,,,,,,,7.7,,,,44.2,,44.2,,,,,,,,0,
Sunday Riley,USA,Houston,Manager or Above,,,,,,9.1,,,,,,,9.1,,,,,,,,,27.3,,,,,,6.1,3,,,,,,,,,,3,,,,42.4,,42.4,,,,,,,,0,
Supergoop!,,,All,,,,,,2.6,,,7.7,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,79.5,,79.5,39,,,,,,,0,
Tarte,,,All,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,0,,,,84,,,,84,
Tarte,,,Leadership,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Tatcha,,,All,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,0,,,,75,,,,75,
Tatcha,,,C-Suite,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,0,,,,50,,,,50,
TEAMIBLENDS,,,Executive and Manager,,,,,,,,,,,,,11,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,66,,66,9,,,,,,,0,
TEAMIBLENDS,,,Team,,,,,,6,,,,,,,11,,,,,,,,,3,,,,,,8,,,,,,,,,,,,,,,72,,72,36,,22,78,,,,100,
Temptu,,,Full-time,,,,,,6,,,,,,,11,,,,,,,,,,,,,39,,,,,,,,,,,,,11,,,,,33,33,18,,,61,,,,61,
The Body Shop,USA,,Corporate and Store Leadership,,,,,,,,,,,,,,,,,16.83,,,,,,,,,,,,,,,,,,,,34.49,19.8,,,,,,,0,,,,71,,,,71,
The Body Shop,USA,,Distribution Center Organization,,,,,,,,,,,,,,,,,25.86,,,,,,,,,,,,,,,,,,,,41.36,3.44,,,,,,,0,,,,55.17,,,,55.17,
The Body Shop,USA,,Store Organization,,,,,,,,,,,,,,,,,10.94,,,,,,,,,,,,,,,,,,,,22.92,39.23,,,,,,,0,,,,89,,,,89,
The Crayon Case,,,Owner,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
The Estee Lauder Companies (BECCA),,,All,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,0,,,,84,,,,84,
The Estee Lauder Companies (BECCA),,,Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,0,,,,,,,,0,
The Estee Lauder Companies (BECCA),,,Executive Director or Above,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,0,,,,,,,,0,
The Estee Lauder Companies (BECCA),,,Executive Officers,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
The Honest Co,,,All,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,53,,53,,,32,68,,,,100,
The Honest Co,,,New Hires (Last Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,0,,,,,,,,0,
The Lip Bar,,,All,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,100,,,,100,
theBalm,,,All,,,,,,27,,,,,,,9,,,,,,,,,27,,,,,,,,,,9,,,,,,,,,,,27,,27,,,,,,,,0,
Thinx,,,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,67,,67,6,,,,,,,0,
Thinx,,,Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,72,,72,4,,,,,,,0,
Thinx,,,Team,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,30,,,,,6,,,,,61,,61,69,67%,,,,,,0,
Thrive Causemetics,,,All,,,,,,14,,,,,,,,,,,6,,,,,24,,,,,,,,,,,,,12,,,,,,,,44,,44,,,6,94,,,,100,
Thrive Causemetics,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,0,,,,,,,,0,
Thrive Causemetics,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Toms,USA,,C-Suite,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Toms,USA,,Director and Above,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,0,,,,,,,,0,
Toms,USA,,HQ,,,,0,,24,,,,,,,5,,,,,,,,,11,,,,,,,,,,0,,,,,,3,,,5,,52,,52,,,,,,,,0,
Toms,USA,,Total,,,,0,,19,,,,,,,4,,,,,,,,,20,,,,,,,,,,<1,,,,,,4,,,7,,46,,46,,,,,,,,0,
Toms,USA,,VP,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Ulta Beauty,,,Board,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Ulta Beauty,,,Corporate Associates,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,0,,,,92,,,,92,
Ulta Beauty,,,Executive,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Unilever USA,USA,,Corporate,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,0,,,,50,,,,50,
Unilever USA,USA,,Leadership,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,0,,,,,,,,0,
UOMA Beauty,,,All,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,17,17,,,,75,,,,75,
Urban Medspa,,,All,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,0,,,,97,,,,97,
Urban Medspa,,,Executive,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,75,,,,75,
Urban Medspa,,,Manager,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,100,,,,100,
Urban Skin Rx,,,All,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,0,,,,90,,,,90,
Urban Skin Rx,,,Executive,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,0,,,,67,,,,67,
Urban Skin Rx,,,Manager,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,0,,,,100,,,,100,
Urban Skin Rx + Urban Medspa,,,All,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,0,,,,93,,,,93,
Urban Skin Rx + Urban Medspa,,,Executive,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,0,,,,70,,,,70,
Urban Skin Rx + Urban Medspa,,,Manager,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,0,,,,100,,,,100,
Versed,,,All,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,0,,,,,,,,0,
Versed,,,Executive,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,
Victoria Beckham Beauty,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,0,8,,,88,,,,88,
Wander Beauty,,,All,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,52.4,,,,,,47.6,,47.6,,,,90.5,,,,90.5,
Wander Beauty,,,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,0,,,,100,,,,100,
Wander Beauty,,,Leadership,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,42.9,,,,,,57.1,,57.1,,,,71.4,,,,71.4,
Warby Parker,,,All,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,0,3000,,,61,,,,61,
Warby Parker,,,Board,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,0,,,,22,,,,22,
Warby Parker,,,Corporate,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,0,,,,67,,,,67,
Warby Parker,,,Executive,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,0,,,,50,,,,50,
Warby Parker,,,Management,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,0,,,,60,,,,60,
Warby Parker,,,Optical Lab,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,0,,,,50,,,,50,
Warby Parker,,,Store Management,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,0,,,,56,,,,56,
Warby Parker,,,Stores,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,0,,,,58,,,,58,
